Year,Dates,Documents,Links,StartDate,EndDate,DummyMeeting,Name,Group,Class,Size,FileType,Comments
1939,September 18 Meeting - 1939,"Record of Policy Actions (212 KB PDF)",/monetarypolicy/files/fomcropa19390918.pdf,18-Sep-1939,18-Sep-1939,1,Record of Policy Actions,Minutes,Meeting Summary,212 KB ,PDF,""
1939,September 18 Meeting - 1939,"Historical Minutes (575 KB PDF)",/monetarypolicy/files/FOMChistmin19390918.pdf,18-Sep-1939,18-Sep-1939,1,Historical Minutes,Minutes,Meeting Summary,575 KB ,PDF,""
1939,December 13 Meeting - 1939,"Record of Policy Actions (78 KB PDF)",/monetarypolicy/files/fomcropa19391213.pdf,13-Dec-1939,13-Dec-1939,1,Record of Policy Actions,Minutes,Meeting Summary,78 KB ,PDF,""
1939,December 13 Meeting - 1939,"Historical Minutes (236 KB PDF)",/monetarypolicy/files/FOMChistmin19391213.pdf,13-Dec-1939,13-Dec-1939,1,Historical Minutes,Minutes,Meeting Summary,236 KB ,PDF,""
1939,December 13 Meeting - 1939,"Intermeeting Executive Committee Minutes:September 18-19, 1939 (148 KB PDF)",/monetarypolicy/files/FOMChminec119390919.pdf,13-Dec-1939,13-Dec-1939,1,IMECM,Minutes,Meeting Summary,148 KB ,PDF,""
1939,December 13 Meeting - 1939,"Intermeeting Executive Committee Minutes:November 6, 1939 (93 KB PDF)",/monetarypolicy/files/FOMChminec119391106.pdf,13-Dec-1939,13-Dec-1939,1,IMECM,Minutes,Meeting Summary,93 KB ,PDF,""
1939,December 13 Meeting - 1939,"Intermeeting Executive Committee Minutes:December 13, 1939 (145 KB PDF)",/monetarypolicy/files/FOMChminec119391213.pdf,13-Dec-1939,13-Dec-1939,1,IMECM,Minutes,Meeting Summary,145 KB ,PDF,""
1940,March 20 Meeting - 1940,"Record of Policy Actions (101 KB PDF)",/monetarypolicy/files/fomcropa19400320.pdf,20-Mar-1940,20-Mar-1940,1,Record of Policy Actions,Minutes,Meeting Summary,101 KB ,PDF,""
1940,March 20 Meeting - 1940,"Historical Minutes (408 KB PDF)",/monetarypolicy/files/FOMChistmin19400320.pdf,20-Mar-1940,20-Mar-1940,1,Historical Minutes,Minutes,Meeting Summary,408 KB ,PDF,""
1940,March 20 Meeting - 1940,"Intermeeting Executive Committee Minutes:March 20, 1940 (150 KB PDF)",/monetarypolicy/files/FOMChminec119400320.pdf,20-Mar-1940,20-Mar-1940,1,IMECM,Minutes,Meeting Summary,150 KB ,PDF,""
1940,May 27-28 Meeting - 1940,"Record of Policy Actions (245 KB PDF)",/monetarypolicy/files/fomcropa19400528.pdf,27-May-1940,28-May-1940,1,Record of Policy Actions,Minutes,Meeting Summary,245 KB ,PDF,""
1940,May 27-28 Meeting - 1940,"Historical Minutes (570 KB PDF)",/monetarypolicy/files/FOMChistmin19400528.pdf,27-May-1940,28-May-1940,1,Historical Minutes,Minutes,Meeting Summary,570 KB ,PDF,""
1940,May 27-28 Meeting - 1940,"Intermeeting Executive Committee Minutes:May 27, 1940 (60 KB PDF)",/monetarypolicy/files/FOMChminec119400527.pdf,27-May-1940,28-May-1940,1,IMECM,Minutes,Meeting Summary,60 KB ,PDF,""
1940,May 27-28 Meeting - 1940,"Intermeeting Executive Committee Minutes:May 28, 1940 (106 KB PDF)",/monetarypolicy/files/FOMChminec119400528.pdf,27-May-1940,28-May-1940,1,IMECM,Minutes,Meeting Summary,106 KB ,PDF,""
1940,September 27 Meeting - 1940,"Record of Policy Actions (161 KB PDF)",/monetarypolicy/files/fomcropa19400927.pdf,27-Sep-1940,27-Sep-1940,1,Record of Policy Actions,Minutes,Meeting Summary,161 KB ,PDF,""
1940,September 27 Meeting - 1940,"Historical Minutes (410 KB PDF)",/monetarypolicy/files/FOMChistmin19400927.pdf,27-Sep-1940,27-Sep-1940,1,Historical Minutes,Minutes,Meeting Summary,410 KB ,PDF,""
1940,September 27 Meeting - 1940,"Intermeeting Executive Committee Minutes:September 27, 1940 (164 KB PDF)",/monetarypolicy/files/FOMChminec119400927.pdf,27-Sep-1940,27-Sep-1940,1,IMECM,Minutes,Meeting Summary,164 KB ,PDF,""
1940,December 18 Meeting - 1940,"Record of Policy Actions (186 KB PDF)",/monetarypolicy/files/fomcropa19401218.pdf,18-Dec-1940,18-Dec-1940,1,Record of Policy Actions,Minutes,Meeting Summary,186 KB ,PDF,""
1940,December 18 Meeting - 1940,"Historical Minutes (485 KB PDF)",/monetarypolicy/files/FOMChistmin19401218.pdf,18-Dec-1940,18-Dec-1940,1,Historical Minutes,Minutes,Meeting Summary,485 KB ,PDF,""
1940,December 18 Meeting - 1940,"Intermeeting Executive Committee Minutes:November 1, 1940 (353 KB PDF)",/monetarypolicy/files/FOMChminec119401101.pdf,18-Dec-1940,18-Dec-1940,1,IMECM,Minutes,Meeting Summary,353 KB ,PDF,""
1940,December 18 Meeting - 1940,"Intermeeting Executive Committee Minutes:December 18, 1940 (190 KB PDF)",/monetarypolicy/files/FOMChminec119401218.pdf,18-Dec-1940,18-Dec-1940,1,IMECM,Minutes,Meeting Summary,190 KB ,PDF,""
1941,March 17 Meeting - 1941,"Record of Policy Actions (116 KB PDF)",/monetarypolicy/files/fomcropa19410317.pdf,17-Mar-1941,17-Mar-1941,1,Record of Policy Actions,Minutes,Meeting Summary,116 KB ,PDF,""
1941,March 17 Meeting - 1941,"Historical Minutes (496 KB PDF)",/monetarypolicy/files/FOMChistmin19410317.pdf,17-Mar-1941,17-Mar-1941,1,Historical Minutes,Minutes,Meeting Summary,496 KB ,PDF,""
1941,March 17 Meeting - 1941,"Intermeeting Executive Committee Minutes:March 17, 1941, 2:20 p.m. (52 KB PDF)",/monetarypolicy/files/FOMChminec119410317.pdf,17-Mar-1941,17-Mar-1941,1,IMECM,Minutes,Meeting Summary,52 KB ,PDF,""
