,date,d_dec,d_unc,d_inc,d_m075,d_m050,d_m025,d_0,d_025,d_050,d_075,month,year
142,2005-11-01,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,11,2005
143,2005-12-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,2005
144,2006-01-31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2006
145,2006-03-28,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,2006
146,2006-05-10,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5,2006
147,2006-06-29,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6,2006
148,2006-08-08,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8,2006
149,2006-09-20,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9,2006
150,2006-10-25,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10,2006
151,2006-12-12,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12,2006
152,2007-01-31,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,2007
153,2007-03-21,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3,2007
154,2007-05-09,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5,2007
155,2007-06-28,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6,2007
156,2007-08-07,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,8,2007
157,2007-09-18,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9,2007
158,2007-10-31,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10,2007
159,2007-12-11,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,2007
160,2008-01-30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,2008
161,2008-03-18,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,2008
162,2008-04-30,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4,2008
163,2008-06-25,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6,2008
164,2008-08-05,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8,2008
165,2008-09-16,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9,2008
166,2008-10-29,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10,2008
167,2008-12-16,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,12,2008
168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1988
169,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1988
170,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1988
171,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1988
172,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1989
173,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1989
174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1989
175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1989
176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1990
177,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1990
178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1990
179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1990
180,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1991
181,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1991
182,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1991
183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1991
184,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1992
185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1992
186,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1992
187,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1992
188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1993
189,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1993
190,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1993
191,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1993
192,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1994
193,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1994
194,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1994
195,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1994
196,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1995
197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1995
198,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1995
199,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1995
200,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1996
201,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1996
202,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1996
203,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1996
204,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1997
205,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1997
206,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1997
207,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1997
208,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1998
209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1998
210,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1998
211,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1998
212,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1999
213,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1999
