DEAJKoldbal_m050,DEAJKoldbal_m025,DEAJKoldbal_0,DEAJKoldbal_025,DEAJKoldbal_050,PCEHbal_m050,PCEHbal_m025,PCEHbal_0,PCEHbal_025,PCEHbal_050,PCEH1bal_m050,PCEH1bal_m025,PCEH1bal_0,PCEH1bal_025,PCEH1bal_050,UNRATEbal_m050,UNRATEbal_m025,UNRATEbal_0,UNRATEbal_025,UNRATEbal_050,UNRATE1bal_m050,UNRATE1bal_m025,UNRATE1bal_0,UNRATE1bal_025,UNRATE1bal_050,rbal_m050,rbal_m025,rbal_0,rbal_025,rbal_050,LastChangebal_m050,LastChangebal_m025,LastChangebal_0,LastChangebal_025,LastChangebal_050
,,-.022842076,,,,,.23492716,,,,,.26318446,,,,,0,,,,,-.083270259,,,,,.83270258,,,,,0,,
,,.0077932677,,,,,-.026564058,,,,,.21986866,,,,,-.077932753,,,,,0,,,,,.77932751,,,,,0,,
,,.015519806,,,,,.077780776,,,,,-.025650898,,,,,-.15050749,,,,,-.075253747,,,,,.75253749,,,,,0,,
,,.0088371625,,,,,.18547241,,,,,.086252518,,,,,-.08345025,,,,,-.1669005,,,,,.83450252,,,,,0,,
,,0,,,,,.39033973,,,,,.23829575,,,,,0,,,,,-.10721724,,,,,1.0721724,,,,,0,,
,,-.04331857,,,,,.18638432,,,,,.28801888,,,,,-.079112083,,,,,0,,,,,.79112083,,,,,0,,
,,0,,,,,.13095912,,,,,.17809391,,,,,.15118632,,,,,-.075593159,,,,,.75593162,,,,,0,,
,,.0026059793,,,,,.16500877,,,,,.16637406,,,,,-.19207124,,,,,.19207124,,,,,.96035618,,,,,0,,
,,,-.06761761,,,,,.074756309,,,,,.037844863,,,,,0,,,,,-.044051655,,,,,.22025828,,,,,0,
,,.0077633807,,,,,.24962126,,,,,.26349166,,,,,0,,,,,0,,,,,.97042346,,,,,.19408469,,
,,,.036706269,,,,,.022536626,,,,,.054211129,,,,,-.016860023,,,,,0,,,,,.2107503,,,,,0,
,,,.027314171,,,,,.019274818,,,,,.031290237,,,,,-.023408744,,,,,-.023408744,,,,,.35113117,,,,,.058521863,
