ffed,pceh,ip,unrate,date,TargetChange,DEAJKold,r,LastChange,LastCFOMC,Scale,FOMCMeetings,DY2K,D911,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12,PCEH,UNRATE,PCEH1,UNRATE1,Crisis,DEAJKoldXCrisis
5.52,79.310997,80.099998,4.9000001,31jul1997,0,-.034845851,5.5,0,0,1.068965517241379,1,0,0,0,0,0,0,0,1,0,0,0,0,0,.1249724024172565,.0999999999999996,-.0391495708018965,-.1999999999999993,0,0
5.54,79.375,81.199997,4.8000002,31aug1997,0,-.052767403,5.5,0,0,2.583333333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,.0554931972015993,-.0999999999999996,.1249724024172565,.0999999999999996,0,0
5.54,79.556,81.900002,4.9000001,30sep1997,0,-.80097902,5.5,0,0,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.0806624446643696,-.1000000000000005,.0554931972015993,-.0999999999999996,0,0
5.5,79.657997,82.5,4.6999998,31oct1997,0,.03000021,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.227771898814467,.1000000000000005,.0806624446643696,-.1000000000000005,0,0
5.52,79.668999,83.199997,4.5999999,30nov1997,0,.036963537,5.5,0,0,1.666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.1281294533829964,-.2000000000000002,.227771898814467,.1000000000000005,0,0
5.5,79.655998,83.5,4.6999998,31dec1997,0,.091886021,5.5,0,0,2.066666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.0138080802593663,-.1000000000000005,.1281294533829964,-.2000000000000002,0,0
5.5599999,79.686996,83.900002,4.5999999,31jan1998,0,.059999943,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.0163188451640508,.1000000000000005,.0138080802593663,-.1000000000000005,0,0
5.5100002,79.637001,84,4.5999999,28feb1998,0,-.071588725,5.5,0,0,1.166666666666667,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.0389097737473207,-.1000000000000005,-.0163188451640508,.1000000000000005,0,0
5.4899998,79.643997,84.099998,4.6999998,31mar1998,0,-.37331653,5.5,0,0,31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-.0627651849582662,0,.0389097737473207,-.1000000000000005,0,0
5.4499998,79.745003,84.400002,4.3000002,30apr1998,0,.019999981,5.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.0087894978114491,.1000000000000005,-.0627651849582662,0,0,0
5.4899998,79.857002,84.900002,4.4000001,31may1998,0,.055847172,5.5,0,0,2.583333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.126733982292933,-.4000000000000004,.0087894978114491,.1000000000000005,0,0
5.5599999,79.792,84.400002,4.5,30jun1998,0,.010000229,5.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.1403491414702103,.1000000000000005,.126733982292933,-.4000000000000004,0,0
5.54,79.984001,84.099998,4.5,31jul1998,0,.019999981,5.5,0,0,1.033333333333333,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-.0814286385652849,.0999999999999996,.1403491414702103,.1000000000000005,0,0
5.5500002,80.093002,85.900002,4.5,31aug1998,0,-.057951868,5.5,0,0,2.384615384615385,1,0,0,0,0,0,0,0,0,1,0,0,0,0,.2403365867447746,0,-.0814286385652849,.0999999999999996,0,0
5.5100002,80.042999,85.599998,4.5999999,30sep1998,-.25,-.47982487,5.5,0,0,30,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.1361844822755529,0,.2403365867447746,0,0,0
5.0700002,80.213997,86.300003,4.5,31oct1998,-.25,-.010000229,5.25,-.25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-.0624469221472168,.0999999999999996,.1361844822755529,0,0,0
4.8299999,80.216003,86.199997,4.4000001,30nov1998,-.25,-.15885635,5,-.25,-.25,2.307692307692307,1,0,0,0,0,0,0,0,0,0,0,0,1,0,.2134072956542923,-.0999999999999996,-.0624469221472168,.0999999999999996,0,0
4.6799998,80.301003,86.5,4.4000001,31dec1998,0,.16437803,4.75,-.25,-.25,3.444444444444445,1,0,0,0,0,0,0,0,0,0,0,0,0,1,.0024932992583331,-.0999999999999996,.2134072956542923,-.0999999999999996,0,0
4.6300001,80.447998,86.900002,4.3000002,31jan1999,0,.039999962,4.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1059077953674432,0,.0024932992583331,-.0999999999999996,0,0
4.7600002,80.428001,87.300003,4.4000001,28feb1999,0,-.052847821,4.75,0,0,1.12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,.1828938792483541,-.1000000000000005,.1059077953674432,0,0,0
4.8099999,80.483002,87.5,4.1999998,31mar1999,0,-.26072535,4.75,0,0,31,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-.0248638704381392,.1000000000000005,.1828938792483541,-.1000000000000005,0,0
4.7399998,80.855003,87.699997,4.3000002,30apr1999,0,.019999981,4.75,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.068360773523068,-.2000000000000002,-.0248638704381392,.1000000000000005,0,0
4.7399998,80.888,88.300003,4.1999998,31may1999,0,.052185271,4.75,0,0,2.384615384615385,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.4611445031275707,.0999999999999996,.068360773523068,-.2000000000000002,0,0
4.7600002,80.904999,88.099998,4.3000002,30jun1999,.25,-.15027362,4.75,0,0,30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.0408054759191145,-.0999999999999996,.4611445031275707,.0999999999999996,0,0
4.9899998,81.119003,88.699997,4.3000002,31jul1999,0,.019999981,5,.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,.0210145062673064,.0999999999999996,.0408054759191145,-.0999999999999996,0,0
