DATE,PCE_PCH
10/1/00,0.077
11/1/00,0.20615
12/1/00,0.62732
1/1/01,0.45064
2/1/01,0.26946
3/1/01,-0.11292
4/1/01,0.19033
5/1/01,0.6556
6/1/01,0.19299
7/1/01,0.16287
8/1/01,0.51893
9/1/01,-1.35183
10/1/01,2.78919
11/1/01,-0.56184
12/1/01,-0.28181
1/1/02,0.37215
2/1/02,0.6133
3/1/02,0.26183
4/1/02,0.94235
5/1/02,-0.31073
6/1/02,0.48746
7/1/02,0.84994
8/1/02,0.28589
9/1/02,-0.14186
10/1/02,0.53714
11/1/02,0.39027
12/1/02,0.71182
1/1/03,0.27021
2/1/03,0.03717
3/1/03,0.82936
4/1/03,0.29743
5/1/03,0.09316
6/1/03,0.66203
7/1/03,0.77618
8/1/03,1.24448
9/1/03,0.00638
10/1/03,0.13657
11/1/03,0.687
12/1/03,0.3747
1/1/04,0.734
2/1/04,0.40564
3/1/04,0.70077
4/1/04,0.15602
5/1/04,0.92229
6/1/04,-0.196
7/1/04,0.88006
8/1/04,0.41611
9/1/04,0.82393
10/1/04,0.64294
11/1/04,0.54928
12/1/04,0.72323
1/1/05,-0.13323
2/1/05,0.69656
3/1/05,0.47249
4/1/05,0.88803
5/1/05,-0.01966
6/1/05,0.93592
7/1/05,1.20003
8/1/05,0.03284
9/1/05,0.60459
10/1/05,0.45916
11/1/05,0.13331
12/1/05,0.34793
1/1/06,1.00562
2/1/06,0.33444
3/1/06,0.35203
4/1/06,0.57772
5/1/06,0.43925
6/1/06,0.27889
7/1/06,0.8852
8/1/06,-0.00858
9/1/06,0.35294
10/1/06,0.19776
11/1/06,0.07468
12/1/06,0.94667
1/1/07,0.49952
2/1/07,0.3205
3/1/07,0.40118
4/1/07,0.31925
5/1/07,0.37023
6/1/07,0.16578
7/1/07,0.43756
8/1/07,0.45625
9/1/07,0.4511
10/1/07,0.297
11/1/07,0.72046
12/1/07,0.10709
1/1/08,0.218
2/1/08,-0.16717
3/1/08,0.46402
4/1/08,0.37552
5/1/08,0.57018
6/1/08,0.5381
7/1/08,-0.03166
8/1/08,-0.09896
9/1/08,-0.5072
10/1/08,-0.8284
11/1/08,-1.40056
12/1/08,-0.91744
1/1/09,0.5457
2/1/09,-0.18193
3/1/09,-0.48638
4/1/09,0.06482
5/1/09,0.24782
6/1/09,0.59494
7/1/09,0.35485
8/1/09,1.21219
9/1/09,-0.77904
10/1/09,0.49072
11/1/09,0.08659
12/1/09,0.5875
1/1/10,0.029
2/1/10,0.28795
3/1/10,0.58322
4/1/10,0.2359
5/1/10,0.17898
6/1/10,0.20136
7/1/10,0.32803
8/1/10,0.42711
9/1/10,0.20336
10/1/10,0.54347
11/1/10,0.48522
12/1/10,0.36119
1/1/11,0.41762
2/1/11,0.33156
3/1/11,0.7679
4/1/11,0.35164
5/1/11,0.23046
6/1/11,0.2337
7/1/11,0.38263
8/1/11,0.21634
9/1/11,0.35045
10/1/11,0.13969
11/1/11,0.05952
12/1/11,0.11804
1/1/12,0.83456
2/1/12,0.84146
3/1/12,-0.01552
4/1/12,0.25475
5/1/12,-0.1011
6/1/12,-0.20331
7/1/12,0.28229
8/1/12,0.24505
9/1/12,0.52162
10/1/12,0.34625
11/1/12,0.33334
12/1/12,0.03322
1/1/13,0.55922
2/1/13,0.32849
3/1/13,-0.11121
4/1/13,-0.19328
5/1/13,0.34983
6/1/13,0.21521
7/1/13,0.24759
8/1/13,0.28769
9/1/13,0.33277
10/1/13,0.46539
11/1/13,0.59371
12/1/13,0.26376
1/1/14,-0.12329
2/1/14,0.61545
3/1/14,0.60478
4/1/14,0.53759
5/1/14,0.37413
6/1/14,0.52592
7/1/14,0.38433
8/1/14,0.68308
9/1/14,0.08125
10/1/14,0.58249
11/1/14,0.26459
12/1/14,0.12282
1/1/15,-0.20804
2/1/15,0.40864
3/1/15,0.46819
4/1/15,0.34333
5/1/15,0.60472
6/1/15,0.28138
7/1/15,0.50018
8/1/15,0.24197
9/1/15,-0.02018
10/1/15,0.02261
11/1/15,0.28658
12/1/15,0.24954
1/1/16,0.21439
2/1/16,0.55847
3/1/16,-0.08207
4/1/16,0.67704
5/1/16,0.42218
6/1/16,0.66098
7/1/16,0.13869
8/1/16,0.26135
9/1/16,0.47998
10/1/16,0.29749
11/1/16,0.22613
12/1/16,0.63746
1/1/17,0.42151
2/1/17,0.08563
3/1/17,0.40258
4/1/17,0.3226
5/1/17,0.11603
6/1/17,0.37724
7/1/17,0.17584
8/1/17,0.32545
9/1/17,0.94989
10/1/17,0.42771
11/1/17,0.6392
12/1/17,0.6057
1/1/18,0.20337
2/1/18,0.10586
3/1/18,0.45872
4/1/18,0.62722
5/1/18,0.66154
6/1/18,0.36981
7/1/18,0.51697
8/1/18,0.363
9/1/18,0.06936
10/1/18,0.58707
11/1/18,0.31573
12/1/18,-0.82294
1/1/19,0.55836
2/1/19,-0.07731
3/1/19,0.9707
4/1/19,0.6012
5/1/19,0.46881
6/1/19,0.28259
